KODE_PROV,KODE_KK,FID,PROVINSI,KAB_KOTA,LATITUDE,LONGITUDE,,//WGS84 Coordinates; convention is to use great circle distance
11,11.01,11.01,Aceh,Aceh Selatan,3.1619,97.4365,,
11,11.02,11.02,Aceh,Aceh Tenggara,3.3689,97.6976,,
11,11.03,11.03,Aceh,Aceh Timur,4.6304,97.6261,,
11,11.04,11.04,Aceh,Aceh Tengah,4.5199,96.8813,,
11,11.05,11.05,Aceh,Aceh Barat,4.4545,96.1809,,
11,11.06,11.06,Aceh,Aceh Besar,5.3801,95.5152,,
11,11.07,11.07,Aceh,Pidie,5.0536,96.0334,,
11,11.08,11.08,Aceh,Aceh Utara,5.0156,97.1819,,
11,11.09,11.09,Aceh,Simeulue,2.6128,96.0863,,
11,11.1,11.1,Aceh,Aceh Singkil,2.3480,97.8451,,
11,11.11,11.11,Aceh,Bireuen,5.0938,96.6070,,
11,11.12,11.12,Aceh,Aceh Barat Daya,3.8226,96.8803,,
11,11.13,11.13,Aceh,Gayo Lues,3.9827,97.3601,,
11,11.14,11.14,Aceh,Aceh Jaya,4.8324,95.6781,,
11,11.15,11.15,Aceh,Nagan Raya,4.1642,96.5077,,
11,11.16,11.16,Aceh,Aceh Tamiang,4.2245,97.9830,,
11,11.17,11.17,Aceh,Bener Meriah,4.7701,97.0041,,
11,11.18,11.18,Aceh,Pidie Jaya,5.1247,96.2133,,
11,11.71,11.71,Aceh,Kota Banda Aceh,5.5587,95.3277,,
11,11.72,11.72,Aceh,Kota Sabang,5.8378,95.3057,,
11,11.73,11.73,Aceh,Kota Lhokseumawe,5.1653,97.1107,,
11,11.74,11.74,Aceh,Kota Langsa,4.4818,97.9806,,
11,11.75,11.75,Aceh,Kota Subulussalam,2.7307,97.9360,,
12,12.01,12.01,Sumatera Utara,Tapanuli Tengah,1.8360,98.6537,,
12,12.02,12.02,Sumatera Utara,Tapanuli Utara,2.0012,99.0651,,
12,12.03,12.03,Sumatera Utara,Tapanuli Selatan,1.5006,99.2670,,
12,12.04,12.04,Sumatera Utara,Nias,1.0699,97.7246,,
12,12.05,12.05,Sumatera Utara,Langkat,3.7088,98.2237,,
12,12.06,12.06,Sumatera Utara,Karo,3.1184,98.3014,,
12,12.07,12.07,Sumatera Utara,Deli Serdang,3.4803,98.6948,,
12,12.08,12.08,Sumatera Utara,Simalungun,2.9697,99.0216,,
12,12.09,12.09,Sumatera Utara,Asahan,2.8049,99.5594,,
12,12.1,12.1,Sumatera Utara,Labuhanbatu,2.2856,100.0616,,
12,12.11,12.11,Sumatera Utara,Dairi,2.8405,98.2792,,
12,12.12,12.12,Sumatera Utara,Toba,2.3890,99.2476,,
12,12.13,12.13,Sumatera Utara,Mandailing Natal,0.7764,99.3687,,
12,12.14,12.14,Sumatera Utara,Nias Selatan,0.3293,98.0989,,
12,12.15,12.15,Sumatera Utara,Pakpak Bharat,2.5494,98.2431,,
12,12.16,12.16,Sumatera Utara,Humbang Hasundutan,2.2612,98.5777,,
12,12.17,12.17,Sumatera Utara,Samosir,2.5623,98.7290,,
12,12.18,12.18,Sumatera Utara,Serdang Bedagai,3.3663,99.0577,,
12,12.19,12.19,Sumatera Utara,Batu Bara,3.2352,99.4726,,
12,12.2,12.2,Sumatera Utara,Padang Lawas Utara,1.5909,99.7630,,
12,12.21,12.21,Sumatera Utara,Padang Lawas,1.1423,99.8512,,
12,12.22,12.22,Sumatera Utara,Labuhanbatu Selatan,1.8419,100.1400,,
12,12.23,12.23,Sumatera Utara,Labuhanbatu Utara,2.4110,99.7578,,
12,12.24,12.24,Sumatera Utara,Nias Utara,1.3150,97.3554,,
12,12.25,12.25,Sumatera Utara,Nias Barat,1.0307,97.4912,,
12,12.71,12.71,Sumatera Utara,Kota Medan,3.6290,98.6672,,
12,12.72,12.72,Sumatera Utara,Kota Pematangsiantar,2.9614,99.0590,,
12,12.73,12.73,Sumatera Utara,Kota Sibolga,1.7425,98.7893,,
12,12.74,12.74,Sumatera Utara,Kota Tanjung Balai,2.9640,99.7947,,
12,12.75,12.75,Sumatera Utara,Kota Binjai,3.6002,98.4892,,
